time,open,close,high,low,volume
1548209580000,3206.22533771,3206.22533771,3206.22533771,3206.22533771,0.05
1548209640000,3206.17068753,3206.17068753,3206.17068753,3206.17068753,0.05
1548209700000,3206.17068753,3206.17068753,3206.17068753,3206.17068753,0.144514
1548209760000,3206.17068753,3206.17068753,3206.17068753,3206.17068753,0.05
1548209820000,3206.17068753,3206.17068753,3206.17068753,3206.17068753,0.1
1548209880000,3206.17068753,3206.17068753,3206.17068753,3206.17068753,0.05
1548209940000,3206.17068753,3206.17068753,3206.17068753,3206.17068753,0.1
1548210000000,3206.17068753,3206.17068753,3206.17068753,3206.17068753,0.05
1548210060000,3206.17068753,3206.17068753,3206.17068753,3206.17068753,0.1
1548210120000,3206.17068753,3206.17068753,3206.17068753,3206.17068753,0.05
1548210180000,3206.17068753,3206.17068753,3206.17068753,3206.17068753,0.1
1548210240000,3206.17068753,3206.17068753,3206.17068753,3206.17068753,0.05
1548210300000,3206.261791,3206.261791,3206.261791,3206.261791,0.1
1548210360000,3207.4,3212.86175352,3212.86175352,3207.4,23.85244218
1548210420000,3214.3,3214.62174352,3214.7,3214.3,0.25488885
1548210540000,3214.7,3214.7,3214.7,3214.7,0.05
1548210660000,3214.8,3219.81371403,3220.78170854,3214.8,29.504261
1548210720000,3218.9,3220.78170854,3220.78170854,3218.9,0.09
1548210780000,3220.78170854,3220.8,3220.8,3220.78170854,0.16699999999999998
1548210840000,3220.8,3219.6,3220.8,3219.6,0.33288405
1548210900000,3218.3,3218.3,3218.3,3218.3,0.05
1548210960000,3218.27771254,3218.1,3218.27771254,3218.1,0.065
1548211020000,3218.1,3218.10172054,3218.10172054,3217.8,2.174116
1548211080000,3218.27771254,3218.27771254,3218.27771254,3218.27771254,0.05
1548211260000,3218.27771254,3218.27771254,3218.27771254,3218.27771254,0.1
1548211320000,3218.2,3218.0,3218.2,3218.0,2.785
1548211380000,3218.0,3217.92572854,3218.0,3217.92572854,0.17251191
1548211440000,3217.92572854,3218.82454084,3219.0886181999995,3217.92572854,2.91
1548211500000,3219.0,3221.7,3221.7,3219.0,1.94
1548211560000,3221.7,3221.7,3221.7,3221.7,1.025
1548211620000,3221.7,3221.7,3221.7,3221.7,0.045
1548211740000,3221.7,3221.7,3221.7,3221.64143045,4.08
1548211800000,3221.7,3221.64143045,3221.7,3221.64143045,0.12714573
1548211860000,3221.7,3221.64143045,3221.7,3221.64143045,0.055
1548211920000,3221.64143045,3220.1,3221.64143045,3220.1,2.8996
1548211980000,3220.4,3221.11326365,3222.2,3220.4,4.805
1548212100000,3218.8,3219.5,3219.5,3218.8,0.06591489999999997
1548212160000,3218.8,3219.1,3219.1,3218.8,0.04675095
1548212220000,3219.0,3219.1,3219.1,3219.0,0.5
1548212340000,3219.1,3219.1,3219.1,3219.1,0.05
1548212580000,3219.1,3219.1,3219.1,3219.1,0.07714573000000001
1548212640000,3219.1,3219.59765254,3219.59765254,3219.1,2.633178
1548212700000,3219.50965654,3219.50965654,3219.50965654,3219.50965654,0.1
1548212760000,3219.50965654,3219.50965654,3219.50965654,3219.50965654,0.05
1548212820000,3219.50965654,3219.50965654,3219.50965654,3219.50965654,0.05
1548212940000,3216.34180054,3216.6,3216.6,3216.34180054,2.4
1548213000000,3216.6,3216.6,3216.6,3216.6,0.055
1548213180000,3216.8,3216.8,3216.8,3216.8,0.015
1548213240000,3216.26657901,3216.26657901,3216.26657901,3216.26657901,0.08
1548213300000,3216.26657901,3216.26657901,3216.26657901,3216.26657901,0.26
1548213360000,3216.17859951,3215.91466101,3216.17859951,3215.91466101,0.32
1548213420000,3216.0,3216.0,3216.0,3216.0,0.05
1548213540000,3216.3,3216.3,3216.3,3216.3,1.22138379
1548214020000,3216.02433019,3216.02433019,3216.02433019,3216.02433019,0.3996
1548214320000,3214.7,3214.7,3214.7,3214.7,4.13466315
1548214440000,3214.3,3214.3,3214.3,3214.3,0.85691047
1548214500000,3214.3,3214.3,3214.3,3214.3,0.35450969
1548214560000,3214.3,3212.7,3214.3,3212.7,2.374612
1548214800000,3212.7,3212.7,3212.7,3212.7,0.05
1548214920000,3212.7,3212.7,3212.7,3212.7,5.65149535
1548215040000,3213.017971,3213.1,3213.1,3213.017971,0.16806874
1548215100000,3213.1,3213.1,3213.1,3213.1,0.04201622
1548215220000,3213.1,3213.1,3213.1,3213.1,0.08201622
1548215640000,3212.7971265,3213.2,3213.2,3212.7971265,1.87404096
1548215820000,3215.7007995,3213.9,3215.7007995,3213.9,1.67230438
1548216000000,3214.1,3214.1,3214.1,3214.1,0.05
1548216060000,3214.1,3213.58902751,3214.1,3213.58902751,0.22800439
1548216180000,3213.6,3213.6,3213.6,3213.6,0.0213
1548216240000,3213.6,3213.881217,3213.881217,3213.6,0.07070863
1548216300000,3213.9,3213.9,3213.9,3213.9,0.015
1548216360000,3213.9,3213.9,3213.9,3213.9,0.035
1548216480000,3213.9,3213.9,3213.9,3213.9,0.05
1548216540000,3213.9,3213.9,3213.9,3213.9,0.05
1548216660000,3213.9,3213.9,3213.9,3213.9,0.16269936000000002
1548216720000,3213.9,3209.3,3213.9,3205.1,13.34905067
1548216780000,3206.1,3205.3,3206.1,3205.3,11.17713407
1548216900000,3204.5,3204.5,3204.5,3204.5,0.05
1548217020000,3202.5,3202.5,3202.5,3202.5,2.11
1548217080000,3203.75384454,3203.75384454,3203.75384454,3203.75384454,0.06540399999999999
1548217140000,3202.8420034,3202.8420034,3202.8420034,3202.8420034,0.06496
1548217200000,3202.7,3202.6,3202.7,3202.6,11.07650891
1548217680000,3204.5,3204.5,3204.5,3204.5,2.5
1548217740000,3202.3,3202.3,3202.3,3202.3,3.25485859
1548217800000,3201.8,3201.8,3201.8,3201.8,0.00090122
1548217920000,3201.8,3197.2,3201.8,3194.9,7.58568825
1548217980000,3199.5,3199.5,3199.5,3199.5,0.005
1548218040000,3199.5,3199.5,3199.5,3199.5,0.08719463999999999
1548218100000,3202.8,3202.6,3203.6,3202.4,0.16440425
1548218220000,3202.4,3201.7,3202.4,3200.5,0.4407528
1548218280000,3203.6,3204.4,3204.4,3203.6,0.32641458
1548218460000,3201.0,3201.3,3201.3,3201.0,0.38474322
1548218520000,3201.3,3201.3,3201.3,3201.3,0.03447084
1548218580000,3199.9,3199.9,3199.9,3199.9,0.05
1548218700000,3201.4,3201.4,3201.4,3201.4,0.00611168
1548218760000,3199.8660193000005,3199.9539978,3199.9539978,3199.8660193000005,0.129268
1548219120000,3201.009739800001,3201.009739800001,3201.009739800001,3201.009739800001,0.0124387
1548219480000,3201.28289191,3201.28289191,3201.28289191,3201.28289191,0.203208
1548219720000,3201.2,3201.2,3201.2,3201.2,0.006407
1548219780000,3201.2,3201.2,3201.2,3201.2,0.183328
1548219840000,3201.2,3201.9226935,3201.9226935,3201.2,0.64336029
1548219900000,3202.0,3202.0,3202.0,3202.0,0.005
1548219960000,3202.0,3202.0,3202.0,3202.0,0.03716158
1548220020000,3202.0,3202.0,3202.0,3202.0,0.04216158
1548220140000,3202.0,3202.0,3202.0,3202.0,0.04216158
1548220200000,3202.0,3202.0,3202.0,3202.0,0.08151781999999999
1548220260000,3202.0,3202.0,3202.0,3202.0,0.04216165
1548220320000,3202.0,3202.0,3202.0,3202.0,0.04216158
1548220440000,3202.0,3202.0,3202.0,3202.0,0.04216158
1548220620000,3202.5,3202.5,3202.5,3202.5,0.005
1548220740000,3202.5,3202.5,3202.5,3202.5,0.03715493
1548221580000,3202.6,3202.6,3202.6,3202.6,0.04999996
1548221640000,3202.27179718,3202.27179718,3202.27179718,3202.27179718,10.0
